,지역(1),지역(2),세대,총전입,총전출,순이동,시도내이동-시군구내,시도내이동-시군구간 전입,시도내이동-시군구간 전출,시도간전입,시도간전출,연도
136,서울특별시,강서구,노년층,11856.0,10459.0,1397.0,4322.0,4701.0,2325.0,2833.0,3812.0,2014
137,서울특별시,강서구,노년층,10572.0,10920.0,-348.0,3884.0,3909.0,2727.0,2779.0,4309.0,2015
138,서울특별시,강서구,노년층,10844.0,11006.0,-162.0,3988.0,4098.0,2665.0,2758.0,4353.0,2016
139,서울특별시,강서구,노년층,9909.0,10355.0,-446.0,3377.0,3680.0,2567.0,2852.0,4411.0,2017
140,서울특별시,강서구,노년층,9425.0,10881.0,-1456.0,3309.0,3315.0,2740.0,2801.0,4832.0,2018
141,서울특별시,강서구,노년층,8828.0,10085.0,-1257.0,3138.0,2908.0,2728.0,2782.0,4219.0,2019
142,서울특별시,강서구,노년층,9917.0,12332.0,-2415.0,3516.0,3352.0,3279.0,3049.0,5537.0,2020
143,서울특별시,강서구,중장년층,32922.0,37312.0,-4390.0,11974.0,11671.0,11524.0,9277.0,13814.0,2010
144,서울특별시,강서구,중장년층,32168.0,36675.0,-4507.0,11809.0,11727.0,11227.0,8632.0,13639.0,2011
145,서울특별시,강서구,중장년층,29475.0,32656.0,-3181.0,10335.0,10771.0,9462.0,8369.0,12859.0,2012
146,서울특별시,강서구,중장년층,30084.0,32425.0,-2341.0,11029.0,10778.0,9184.0,8277.0,12212.0,2013
147,서울특별시,강서구,중장년층,39765.0,36411.0,3354.0,15282.0,15090.0,9113.0,9393.0,12016.0,2014
148,서울특별시,강서구,중장년층,34548.0,36020.0,-1472.0,13252.0,12412.0,9958.0,8884.0,12810.0,2015
149,서울특별시,강서구,중장년층,34616.0,35585.0,-969.0,12811.0,13003.0,9602.0,8802.0,13172.0,2016
150,서울특별시,강서구,중장년층,32009.0,32755.0,-746.0,11271.0,11653.0,8792.0,9085.0,12692.0,2017
151,서울특별시,강서구,중장년층,29076.0,34309.0,-5233.0,10298.0,10164.0,9308.0,8614.0,14703.0,2018
152,서울특별시,강서구,중장년층,25991.0,31844.0,-5853.0,9230.0,8740.0,9421.0,8021.0,13193.0,2019
153,서울특별시,강서구,중장년층,28731.0,37134.0,-8403.0,10451.0,9633.0,10977.0,8647.0,15706.0,2020
154,서울특별시,강서구,청년층,32386.0,33132.0,-746.0,9260.0,12181.0,10592.0,10945.0,13280.0,2010
155,서울특별시,강서구,청년층,32170.0,31912.0,258.0,9107.0,12083.0,10065.0,10980.0,12740.0,2011
156,서울특별시,강서구,청년층,30081.0,29154.0,927.0,8029.0,11378.0,8837.0,10674.0,12288.0,2012
157,서울특별시,강서구,청년층,30418.0,28276.0,2142.0,8399.0,11408.0,8450.0,10611.0,11427.0,2013
158,서울특별시,강서구,청년층,36414.0,30518.0,5896.0,10633.0,14186.0,8576.0,11595.0,11309.0,2014
159,서울특별시,강서구,청년층,34093.0,30657.0,3436.0,9694.0,12657.0,9002.0,11742.0,11961.0,2015
160,서울특별시,강서구,청년층,34932.0,30201.0,4731.0,9552.0,13154.0,8613.0,12226.0,12036.0,2016
161,서울특별시,강서구,청년층,35751.0,29375.0,6376.0,8921.0,13146.0,8432.0,13684.0,12022.0,2017
162,서울특별시,강서구,청년층,34277.0,31341.0,2936.0,8478.0,12131.0,9451.0,13668.0,13412.0,2018
163,서울특별시,강서구,청년층,34560.0,31114.0,3446.0,8602.0,11875.0,9724.0,14083.0,12788.0,2019
164,서울특별시,강서구,청년층,38674.0,35969.0,2705.0,9623.0,14224.0,11600.0,14827.0,14746.0,2020
165,강원도,강원도,노년층,23358.0,22213.0,1145.0,10452.0,3683.0,3683.0,9223.0,8078.0,2010
166,강원도,강원도,노년층,22823.0,21624.0,1199.0,10380.0,3547.0,3547.0,8896.0,7697.0,2011
167,강원도,강원도,노년층,23194.0,21836.0,1358.0,10461.0,3575.0,3575.0,9158.0,7800.0,2012
168,강원도,강원도,노년층,23096.0,21507.0,1589.0,10553.0,3596.0,3596.0,8947.0,7358.0,2013
169,강원도,강원도,노년층,24654.0,23217.0,1437.0,11829.0,3591.0,3591.0,9234.0,7797.0,2014
170,강원도,강원도,노년층,24900.0,23263.0,1637.0,11451.0,3709.0,3709.0,9740.0,8103.0,2015
171,강원도,강원도,노년층,27018.0,25299.0,1719.0,12784.0,4044.0,4044.0,10190.0,8471.0,2016
172,강원도,강원도,노년층,27308.0,25144.0,2164.0,12392.0,4321.0,4321.0,10595.0,8431.0,2017
173,강원도,강원도,노년층,29591.0,28047.0,1544.0,14432.0,4431.0,4431.0,10728.0,9184.0,2018
174,강원도,강원도,노년층,29525.0,27550.0,1975.0,14306.0,4247.0,4247.0,10972.0,8997.0,2019
175,강원도,강원도,노년층,32512.0,29178.0,3334.0,15377.0,4410.0,4410.0,12725.0,9391.0,2020
176,강원도,강원도,중장년층,87709.0,84525.0,3184.0,42242.0,15306.0,15306.0,30161.0,26977.0,2010
177,강원도,강원도,중장년층,85521.0,81177.0,4344.0,40714.0,14744.0,14744.0,30063.0,25719.0,2011
178,강원도,강원도,중장년층,82624.0,79420.0,3204.0,39427.0,13831.0,13831.0,29366.0,26162.0,2012
179,강원도,강원도,중장년층,79664.0,76071.0,3593.0,38228.0,13580.0,13580.0,27856.0,24263.0,2013
180,강원도,강원도,중장년층,85467.0,81953.0,3514.0,42832.0,14087.0,14087.0,28548.0,25034.0,2014
181,강원도,강원도,중장년층,85761.0,81383.0,4378.0,40987.0,14642.0,14642.0,30132.0,25754.0,2015
182,강원도,강원도,중장년층,85993.0,81306.0,4687.0,41250.0,14925.0,14925.0,29818.0,25131.0,2016
183,강원도,강원도,중장년층,80661.0,76367.0,4294.0,36858.0,14962.0,14962.0,28841.0,24547.0,2017
184,강원도,강원도,중장년층,83005.0,80421.0,2584.0,41314.0,14039.0,14039.0,27652.0,25068.0,2018
185,강원도,강원도,중장년층,82676.0,78361.0,4315.0,42398.0,12742.0,12742.0,27536.0,23221.0,2019
186,강원도,강원도,중장년층,84414.0,78795.0,5619.0,42206.0,12939.0,12939.0,29269.0,23650.0,2020
187,강원도,강원도,청년층,72445.0,76591.0,-4146.0,27650.0,13602.0,13602.0,31193.0,35339.0,2010
188,강원도,강원도,청년층,69769.0,72589.0,-2820.0,26066.0,12937.0,12937.0,30766.0,33586.0,2011
189,강원도,강원도,청년층,66022.0,70984.0,-4962.0,24862.0,12105.0,12105.0,29055.0,34017.0,2012
