,지역(1),지역(2),주택유형,매매가격,연도
326,경기도,광주시,연립다세대,93.97776348,2011
327,대전광역시,대전광역시,연립다세대,96.97380452,2011
328,울산광역시,울산광역시,연립다세대,92.26460892,2011
329,세종특별자치시,세종특별자치시,연립다세대,,2011
330,강원도,강원도,연립다세대,91.34952512,2011
331,충청북도,충청북도,연립다세대,94.77953489,2011
332,충청남도,충청남도,연립다세대,93.89535291,2011
333,전라북도,전라북도,연립다세대,94.18591006,2011
334,전라남도,전라남도,연립다세대,90.42936464,2011
335,경상북도,경상북도,연립다세대,88.64060952,2011
336,경상남도,경상남도,연립다세대,100.3077473,2011
337,제주특별자치도,제주특별자치도,연립다세대,86.47602633,2011
338,전국,전국,단독주택,95.10732636,2011
339,서울특별시,서울특별시,단독주택,96.38453444,2011
340,경기도,경기도,단독주택,97.96553691,2011
341,인천광역시,인천광역시,단독주택,101.3316845,2011
342,부산광역시,부산광역시,단독주택,91.97517968,2011
343,대구광역시,대구광역시,단독주택,89.37751398,2011
344,광주광역시,광주광역시,단독주택,97.08174672,2011
345,대전광역시,대전광역시,단독주택,97.65681938,2011
346,울산광역시,울산광역시,단독주택,94.59732011,2011
347,세종특별자치시,세종특별자치시,단독주택,,2011
348,강원도,강원도,단독주택,95.47145435,2011
349,충청북도,충청북도,단독주택,94.52988135,2011
350,충청남도,충청남도,단독주택,94.82152034,2011
351,전라북도,전라북도,단독주택,98.30393975,2011
352,전라남도,전라남도,단독주택,97.00436643,2011
353,경상북도,경상북도,단독주택,93.19110991,2011
354,경상남도,경상남도,단독주택,92.46259074,2011
355,제주특별자치도,제주특별자치도,단독주택,86.30299131,2011
356,전국,전국,종합,92.764103,2012
357,서울특별시,서울특별시,종합,91.12115503,2012
358,서울특별시,종로구,종합,94.26519083,2012
359,서울특별시,중구,종합,92.296542,2012
360,서울특별시,용산구,종합,96.32687192,2012
361,서울특별시,성동구,종합,90.60448641,2012
362,서울특별시,광진구,종합,93.64138054,2012
363,서울특별시,동대문구,종합,92.0502315,2012
364,서울특별시,중랑구,종합,94.16872825,2012
365,서울특별시,성북구,종합,94.44158719,2012
366,서울특별시,강북구,종합,97.34142333,2012
367,서울특별시,도봉구,종합,94.77529638,2012
368,서울특별시,노원구,종합,87.16487527,2012
369,서울특별시,은평구,종합,94.18010976,2012
370,서울특별시,서대문구,종합,93.89412309,2012
371,서울특별시,마포구,종합,90.40478348,2012
372,서울특별시,양천구,종합,92.17458516,2012
373,서울특별시,강서구,종합,91.22705128,2012
374,서울특별시,구로구,종합,91.08594865,2012
375,서울특별시,금천구,종합,93.98538977,2012
376,서울특별시,영등포구,종합,90.28980905,2012
377,서울특별시,동작구,종합,89.03809012,2012
378,서울특별시,관악구,종합,91.87646358,2012
379,서울특별시,서초구,종합,89.13122372,2012
380,서울특별시,강남구,종합,83.77916363,2012
381,서울특별시,송파구,종합,89.95565198,2012
382,서울특별시,강동구,종합,87.02726309,2012
383,경기도,경기도,종합,92.73376266,2012
384,경기도,과천시,종합,88.50489998,2012
385,경기도,안양시,종합,91.55753805,2012
386,경기도,성남시,종합,91.3951288,2012
387,경기도,군포시,종합,89.34639883,2012
388,경기도,의왕시,종합,89.08101068,2012
389,경기도,안성시,종합,92.43775507,2012
390,경기도,용인시,종합,96.47935209,2012
391,경기도,수원시,종합,90.58511506,2012
392,경기도,부천시,종합,94.22023717,2012
393,경기도,안산시,종합,91.62451109,2012
394,경기도,시흥시,종합,90.98497435,2012
395,경기도,광명시,종합,82.54375735,2012
396,경기도,화성시,종합,92.96958732,2012
397,경기도,오산시,종합,96.85123011,2012
398,경기도,평택시,종합,95.03859211,2012
399,경기도,남양주시,종합,95.40996952,2012
400,경기도,구리시,종합,92.75449491,2012
401,경기도,하남시,종합,89.23765702,2012
402,경기도,광주시,종합,97.19698032,2012
403,경기도,이천시,종합,90.74371972,2012
404,경기도,여주시,종합,95.19706733,2012
405,경기도,김포시,종합,87.84856119,2012
406,경기도,고양시,종합,89.629715,2012
407,경기도,파주시,종합,95.80690904,2012
408,경기도,포천시,종합,99.63153095,2012
409,경기도,동두천시,종합,102.644704,2012
410,경기도,양주시,종합,97.9295857,2012
411,경기도,의정부시,종합,97.10125738,2012
412,인천광역시,인천광역시,종합,94.09102941,2012
413,부산광역시,부산광역시,종합,90.73258016,2012
414,대구광역시,대구광역시,종합,80.69091725,2012
415,광주광역시,광주광역시,종합,90.86336133,2012
416,대전광역시,대전광역시,종합,97.11330957,2012
417,울산광역시,울산광역시,종합,94.16446893,2012
418,세종특별자치시,세종특별자치시,종합,91.33336285,2012
419,강원도,강원도,종합,93.83734594,2012
420,충청북도,충청북도,종합,96.19832218,2012
421,충청남도,충청남도,종합,96.47865332,2012
422,전라북도,전라북도,종합,99.28230849,2012
423,전라남도,전라남도,종합,97.88757754,2012
424,경상북도,경상북도,종합,91.63636073,2012
425,경상남도,경상남도,종합,97.57609417,2012
