,지역(1),지역(2),주택유형,전세가격,연도
540,서울특별시,광진구,종합,88.59264593,2013
541,서울특별시,동대문구,종합,86.01680018,2013
542,서울특별시,중랑구,종합,90.72087388,2013
543,서울특별시,성북구,종합,87.87162305,2013
544,서울특별시,강북구,종합,91.1622315,2013
545,서울특별시,도봉구,종합,87.5832101,2013
546,서울특별시,노원구,종합,82.21500084,2013
547,서울특별시,은평구,종합,88.52757171,2013
548,서울특별시,서대문구,종합,86.97200601,2013
549,서울특별시,마포구,종합,86.4319567,2013
550,서울특별시,양천구,종합,84.39833077,2013
551,서울특별시,강서구,종합,85.97639182,2013
552,서울특별시,구로구,종합,81.45046473,2013
553,서울특별시,금천구,종합,89.28472505,2013
554,서울특별시,영등포구,종합,86.83019755,2013
555,서울특별시,동작구,종합,86.87760478,2013
556,서울특별시,관악구,종합,87.5911993,2013
557,서울특별시,서초구,종합,89.10333332,2013
558,서울특별시,강남구,종합,85.765153,2013
559,서울특별시,송파구,종합,87.58891697,2013
560,서울특별시,강동구,종합,83.22366065,2013
561,경기도,경기도,종합,85.47677007,2013
562,경기도,과천시,종합,93.68168829,2013
563,경기도,안양시,종합,82.58988696,2013
564,경기도,성남시,종합,86.16061357,2013
